date,nasClose
2011-12-01,56.779998779296875
2011-12-02,56.619998931884766
2011-12-05,57.2400016784668
2011-12-06,57.08000183105469
2011-12-07,57.08000183105469
2011-12-08,56.119998931884766
2011-12-09,57.02000045776367
2011-12-12,56.380001068115234
2011-12-13,55.7599983215332
2011-12-14,54.88999938964844
2011-12-15,54.7400016784668
2011-12-16,54.86000061035156
2011-12-19,54.31999969482422
2011-12-20,55.93000030517578
2011-12-21,55.130001068115234
2011-12-22,55.599998474121094
2011-12-23,56.08000183105469
2011-12-27,56.2400016784668
2011-12-28,55.59000015258789
2011-12-29,55.9900016784668
2011-12-30,55.83000183105469
2012-01-03,56.900001525878906
2012-01-04,57.13999938964844
2012-01-05,57.61000061035156
2012-01-06,57.810001373291016
2012-01-09,57.619998931884766
2012-01-10,58.040000915527344
2012-01-11,58.15999984741211
2012-01-12,58.38999938964844
2012-01-13,58.18000030517578
2012-01-17,58.709999084472656
2012-01-18,59.4900016784668
2012-01-19,59.86000061035156
2012-01-20,59.77000045776367
2012-01-23,59.790000915527344
2012-01-24,59.68000030517578
2012-01-25,60.43000030517578
2012-01-26,60.220001220703125
2012-01-27,60.400001525878906
2012-01-30,60.45000076293945
2012-01-31,60.529998779296875
2012-02-01,61.02000045776367
2012-02-02,61.209999084472656
2012-02-03,62.04999923706055
2012-02-06,62.0
2012-02-07,62.130001068115234
2012-02-08,62.459999084472656
2012-02-09,62.90999984741211
2012-02-10,62.470001220703125
2012-02-13,63.04999923706055
2012-02-14,63.209999084472656
2012-02-15,62.77000045776367
2012-02-16,63.630001068115234
2012-02-17,63.43000030517578
2012-02-21,63.61000061035156
2012-02-22,63.31999969482422
2012-02-23,63.7400016784668
2012-02-24,63.959999084472656
2012-02-27,64.05000305175781
2012-02-28,64.69999694824219
2012-02-29,64.41000366210938
2012-03-01,64.91999816894531
2012-03-02,64.87000274658203
2012-03-05,64.19999694824219
2012-03-06,63.56999969482422
2012-03-07,64.05999755859375
2012-03-08,64.75
2012-03-09,65.0199966430664
2012-03-12,65.05000305175781
2012-03-13,66.26000213623047
2012-03-14,66.48999786376953
2012-03-15,66.68000030517578
2012-03-16,66.5199966430664
2012-03-19,66.98999786376953
